 H2O[mm]  DT9[K] DT10[K]
    1.1    0.1    0.1
    1.4    0.1    0.1
    1.6    1.1    1.1
    2.3   -0.3   -0.3
    5.4    0.2    0.4
    7.5    0.4    0.6
    7.5    0.8    1.1
    8.4    0.3    0.6
   10.2    0.4    0.8
   11.4    0.6    1.0
   11.4    0.7    1.2
   12.4    0.8    1.5
   15.4    1.1    1.8
   20.9    1.2    1.9
   26.2    2.4    3.7
   29.2    2.2    3.4
   29.9    3.8    5.2
   33.2    3.5    5.1
   37.5    3.9    5.6
   38.9    3.8    5.3
   39.9    4.1    6.1
   41.0    3.1    4.5
   43.3    4.0    5.8
   46.7    3.7    4.9
   47.0    3.3    4.6
   53.8    7.5   10.5
   54.6    5.8    7.9
   63.7    6.9    9.3
   71.2    9.1   12.4
   73.5    9.9   13.1
   78.4    7.5   10.2
   83.4   10.5   13.8
   89.9    9.8   12.8
   94.6    9.8   12.8
   98.5   10.8   14.2
